"10312る 1314 いホて           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/12/01","8,015,665","70,414,584","8.70","8.86","8.70","8.81","-0.09","2,314",
"103/12/02","5,860,822","51,726,344","8.81","8.87","8.78","8.85","+0.04","1,601",
"103/12/03","9,260,032","83,100,386","8.90","9.06","8.86","9.03","+0.18","2,417",
"103/12/04","7,777,422","70,459,998","9.09","9.13","9.01","9.04","+0.01","1,944",
"103/12/05","21,989,078","202,551,251","9.04","9.30","9.04","9.28","+0.24","5,172",
"103/12/08","19,630,243","184,741,020","9.38","9.49","9.30","9.40","+0.12","5,399",
"103/12/09","7,773,306","72,313,472","9.36","9.38","9.26","9.28","-0.12","2,034",
"103/12/10","8,317,185","76,516,273","9.25","9.28","9.15","9.15","-0.13","2,060",
"103/12/11","8,524,390","77,562,485","9.12","9.15","9.04","9.11","-0.04","2,299",
"103/12/12","10,899,764","99,901,591","9.11","9.28","9.08","9.12","+0.01","2,593",
"103/12/15","7,366,592","66,831,221","9.10","9.11","9.04","9.04","-0.08","1,767",
"103/12/16","9,236,439","83,744,539","9.04","9.13","9.04","9.11","+0.07","2,523",
"103/12/17","17,051,226","157,303,114","9.11","9.35","9.11","9.15","+0.04","4,309",
"103/12/18","43,502,908","414,608,384","9.20","9.79","9.17","9.72","+0.57","8,158",
"103/12/19","54,231,016","532,811,662","9.79","9.98","9.70","9.71","-0.01","9,717",
"103/12/22","22,652,503","222,626,277","9.71","9.95","9.63","9.85","+0.14","5,058",
"103/12/23","58,885,362","601,891,933","9.95","10.45","9.88","10.30","+0.45","10,653",
"103/12/24","77,122,661","829,065,328","10.50","10.90","10.40","10.85","+0.55","12,799",
"103/12/25","35,115,394","377,917,294","10.95","10.95","10.60","10.80","-0.05","6,233",
"103/12/26","46,761,565","513,668,277","10.85","11.15","10.80","10.85","+0.05","7,685",
"103/12/27","19,678,249","212,986,760","10.90","10.95","10.70","10.90","+0.05","3,264",
"103/12/29","19,473,189","213,398,511","11.00","11.10","10.85","10.95","+0.05","3,752",
"103/12/30","45,972,499","511,167,056","11.05","11.30","10.95","11.15","+0.20","7,405",
"103/12/31","64,870,999","741,417,422","11.25","11.60","11.25","11.55","+0.40","11,527",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

