,日期,成交股數,開盤價,最高價,最低價,收盤價,成交筆數
0, 87/07/02,"11,482,000",99.0,99.5,97.5,99.5,"2,375"
1, 87/07/03,"16,451,331",101.5,103.5,100.0,103.0,"5,043"
2, 87/07/04,"10,982,100",103.0,107.0,101.0,106.0,"4,197"
3, 87/07/06,"15,355,000",107.0,111.5,106.5,110.5,"5,082"
4, 87/07/07,"12,448,865",111.0,112.5,107.0,108.5,"4,584"
5, 87/07/08,"16,841,200",110.5,115.0,110.0,115.0,"5,222"
6, 87/07/09,"20,603,057",118.5,118.5,113.5,113.5,"6,095"
7, 87/07/10,"14,417,800",114.0,117.0,111.5,117.0,"4,626"
8, 87/07/13,"10,128,200",115.0,118.0,114.0,117.0,"3,409"
9, 87/07/14,"13,805,772",120.0,120.5,117.0,117.5,"4,597"
10, 87/07/15,"8,853,158",118.0,120.0,117.5,120.0,"3,005"
11, 87/07/16,"19,981,628",123.0,127.5,122.0,127.5,"6,360"
12, 87/07/17,"14,357,650",129.0,129.0,125.0,126.0,"5,053"
13, 87/07/18,"11,976,762",127.0,130.0,126.0,127.5,"4,045"
14, 87/07/20,"7,386,000",127.5,127.5,125.0,126.5,"2,145"
15, 87/07/21,"9,493,669",126.5,129.0,125.5,125.5,"3,176"
16, 87/07/22,"11,118,685",122.0,124.5,120.0,124.5,"4,192"
17, 87/07/23,"17,700,496",125.0,129.0,125.0,129.0,"5,618"
18, 87/07/24,"17,552,940",127.0,132.0,126.0,132.0,"6,015"
19, 87/07/27,"13,057,751",130.0,132.0,128.0,129.5,"4,275"
20, 87/07/28,"14,150,988",130.0,132.0,125.0,125.0,"5,046"
21, 87/07/29,"9,753,060",124.0,125.0,122.5,125.0,"4,037"
22, 87/07/30,"8,231,200",124.5,125.5,123.0,124.0,"3,109"
0, 87/08/01,"10,695,893",118.0,120.0,116.5,120.0,"4,208"
1, 87/08/03,"9,500,000",122.0,124.0,119.0,123.5,"3,517"
2, 87/08/04,"10,436,700",123.0,126.0,122.0,124.5,"3,734"
3, 87/08/05,"8,174,862",123.0,125.5,123.0,124.5,"3,303"
4, 87/08/06,"12,418,900",125.5,127.0,122.0,122.5,"4,455"
5, 87/08/07,"11,463,420",123.5,123.5,118.5,121.0,"4,541"
6, 87/08/10,"12,223,584",119.0,119.5,115.0,115.0,"4,753"
7, 87/08/11,"9,452,651",115.0,119.0,114.5,118.0,"3,754"
8, 87/08/12,"11,317,826",116.0,117.0,113.5,116.5,"4,443"
9, 87/08/13,"8,613,602",117.5,118.5,115.0,116.5,"3,306"
10, 87/08/14,"9,265,560",115.5,116.0,113.0,115.0,"3,434"
11, 87/08/15,"8,096,335",114.0,115.0,112.0,113.0,"3,375"
12, 87/08/17,"11,810,000",112.0,112.0,105.5,105.5,"4,401"
13, 87/08/18,"21,305,400",105.5,105.5,99.0,104.0,"8,069"
14, 87/08/19,"18,102,468",107.5,111.0,107.0,110.0,"6,497"
15, 87/08/20,"7,721,864",110.0,110.5,107.5,108.5,"3,281"
16, 87/08/21,"8,998,000",107.5,108.5,105.0,106.0,"3,718"
17, 87/08/24,"15,659,120",103.0,103.5,99.0,99.0,"6,141"
18, 87/08/25,"17,675,333",99.0,103.0,97.5,102.5,"6,484"
19, 87/08/26,"19,216,676",104.5,106.0,100.0,100.0,"6,750"
20, 87/08/27,"17,334,163",99.0,107.0,98.5,106.5,"6,539"
21, 87/08/28,"15,648,804",102.5,106.5,101.5,103.5,"6,397"
22, 87/08/29,"9,056,671",104.0,106.0,102.0,103.0,"3,850"
0, 87/09/01,"15,422,757",95.0,97.5,93.5,96.0,"5,788"
1, 87/09/02,"11,372,347",99.5,99.5,97.0,98.0,"4,266"
2, 87/09/03,"12,762,900",96.0,96.0,91.5,92.0,"4,641"
3, 87/09/04,"10,441,066",91.0,95.0,91.0,95.0,"4,091"
4, 87/09/05,"10,569,654",94.5,98.5,93.0,95.5,"4,175"
5, 87/09/07,"4,721,000",96.5,97.0,94.5,95.5,"1,986"
6, 87/09/08,"9,454,010",97.0,99.0,96.5,99.0,"3,403"
7, 87/09/09,"19,163,831",101.5,103.0,100.0,100.5,"6,286"
8, 87/09/10,"6,440,736",99.5,101.5,97.5,98.5,"2,722"
9, 87/09/11,"6,635,458",96.5,98.0,94.0,98.0,"2,424"
10, 87/09/14,"3,928,686",98.0,98.5,95.0,96.0,"1,480"
11, 87/09/15,"6,624,545",96.0,97.0,93.0,93.5,"2,161"
12, 87/09/16,"6,122,500",93.0,94.5,92.0,94.5,"2,219"
13, 87/09/17,"7,385,382",95.0,97.0,94.5,95.5,"2,731"
14, 87/09/18,"6,928,540",95.0,95.0,92.5,93.5,"2,175"
15, 87/09/19,"8,472,357",93.5,94.5,92.0,93.5,"3,267"
16, 87/09/21,"8,034,000",93.5,94.0,88.0,89.5,"2,959"
17, 87/09/22,"10,961,630",89.5,92.0,89.0,90.0,"3,958"
18, 87/09/23,"7,883,531",91.5,92.0,90.5,91.0,"3,248"
19, 87/09/24,"12,485,188",93.5,95.0,93.0,93.0,"4,536"
20, 87/09/25,"5,132,110",93.0,93.0,91.0,92.0,"1,776"
21, 87/09/28,"3,109,640",92.5,92.5,91.0,91.5,"1,196"
22, 87/09/29,"10,234,754",92.0,94.0,91.0,92.0,"3,433"
0, 87/10/01,"4,990,920",89.0,90.5,87.0,88.0,"2,001"
1, 87/10/02,"6,828,773",84.0,86.0,82.0,82.0,"2,571"
2, 87/10/03,"4,980,265",83.0,84.0,81.0,82.5,"2,069"
3, 87/10/06,"5,031,000",80.0,81.0,77.0,78.5,"1,948"
4, 87/10/07,"7,064,240",79.0,80.5,77.5,80.5,"2,423"
5, 87/10/08,"11,619,804",80.0,86.0,79.0,86.0,"3,312"
6, 87/10/09,"15,581,468",87.0,88.0,84.5,86.0,"4,751"
7, 87/10/12,"12,359,286",87.0,88.0,82.0,84.5,"3,972"
8, 87/10/13,"5,185,453",85.0,85.5,82.0,82.0,"2,010"
9, 87/10/14,"4,144,852",82.0,83.0,81.0,81.0,"1,594"
10, 87/10/15,"5,329,268",82.0,83.5,81.0,82.0,"2,165"
11, 87/10/17,"19,192,046",85.0,87.5,84.5,87.5,"5,688"
12, 87/10/19,"9,984,000",87.5,88.0,85.0,86.0,"2,551"
13, 87/10/20,"8,314,098",86.0,86.0,82.0,82.5,"2,725"
14, 87/10/21,"4,994,815",82.0,84.0,82.0,84.0,"2,100"
15, 87/10/22,"3,830,698",85.0,85.0,83.0,83.5,"1,573"
16, 87/10/23,"6,247,135",84.0,85.0,83.0,85.0,"2,167"
