,日期,成交股數,開盤價,最高價,最低價,收盤價,成交筆數
1,106/06/02,"41,750",494.0,494.0,489.0,492.0,52
2,106/06/03,"9,262",492.0,492.0,487.5,491.0,16
3,106/06/05,"111,570",493.5,493.5,490.0,491.0,70
4,106/06/06,"133,283",493.5,494.0,490.0,494.0,74
5,106/06/07,"45,207",497.5,497.5,496.0,496.5,51
6,106/06/08,"311,697",517.0,527.0,513.0,521.0,229
7,106/06/09,"204,155",523.0,541.0,522.0,530.0,227
8,106/06/12,"165,141",518.0,527.0,518.0,527.0,67
9,106/06/13,"185,990",529.0,537.0,528.0,533.0,182
10,106/06/14,"129,667",537.0,537.0,524.0,530.0,72
11,106/06/15,"160,194",532.0,532.0,520.0,523.0,130
12,106/06/16,"81,368",528.0,528.0,523.0,526.0,83
13,106/06/19,"74,364",527.0,527.0,522.0,527.0,81
14,106/06/20,"101,160",529.0,529.0,523.0,527.0,71
15,106/06/21,"115,351",527.0,530.0,520.0,530.0,121
16,106/06/22,"36,221",530.0,530.0,525.0,527.0,47
17,106/06/23,"49,608",526.0,526.0,520.0,523.0,58
18,106/06/26,"72,394",519.0,522.0,514.0,515.0,85
19,106/06/27,"176,241",522.0,526.0,516.0,524.0,179
20,106/06/28,"92,761",523.0,523.0,504.0,510.0,106
21,106/06/29,"72,265",510.0,510.0,505.0,508.0,50
22,106/06/30,"81,234",496.5,507.0,496.5,501.0,89
0,106/07/03,"15,286",504.0,509.0,501.0,508.0,20
1,106/07/04,"22,220",503.0,503.0,499.0,499.0,27
2,106/07/05,"37,219",496.0,502.0,495.5,495.5,46
3,106/07/06,"3,605",498.0,500.0,498.0,500.0,10
4,106/07/07,"36,813",500.0,507.0,500.0,506.0,45
5,106/07/10,"33,030",505.0,507.0,498.5,503.0,36
6,106/07/11,"410,611",504.0,513.0,503.0,510.0,89
7,106/07/12,"108,483",515.0,527.0,514.0,521.0,109
8,106/07/13,"133,645",521.0,538.0,521.0,538.0,144
9,106/07/14,"221,299",537.0,544.0,536.0,540.0,212
10,106/07/17,"143,168",525.0,528.0,520.0,521.0,130
11,106/07/18,"97,544",521.0,526.0,521.0,525.0,97
12,106/07/19,"104,212",525.0,526.0,513.0,519.0,108
13,106/07/20,"43,142",523.0,525.0,513.0,523.0,49
14,106/07/21,"71,893",523.0,528.0,513.0,525.0,81
15,106/07/24,"74,030",524.0,526.0,517.0,522.0,67
16,106/07/25,"33,470",521.0,523.0,519.0,521.0,42
17,106/07/26,"22,054",523.0,524.0,520.0,524.0,21
18,106/07/27,"68,067",524.0,530.0,524.0,525.0,69
19,106/07/28,"64,702",512.0,527.0,512.0,523.0,66
20,106/07/31,"13,275",525.0,525.0,518.0,518.0,18
0,106/08/01,"87,406",515.0,520.0,513.0,520.0,87
1,106/08/02,"89,211",517.0,522.0,515.0,515.0,60
2,106/08/03,"75,157",520.0,520.0,512.0,519.0,44
3,106/08/04,"63,123",518.0,518.0,512.0,512.0,37
4,106/08/07,"205,314",524.0,545.0,523.0,523.0,217
5,106/08/08,"82,747",523.0,537.0,519.0,533.0,87
6,106/08/09,"108,052",530.0,537.0,525.0,530.0,112
7,106/08/10,"119,457",531.0,531.0,521.0,521.0,125
8,106/08/11,"70,001",518.0,523.0,513.0,523.0,71
9,106/08/14,"80,033",520.0,521.0,509.0,521.0,81
10,106/08/15,"45,067",524.0,524.0,514.0,521.0,50
11,106/08/16,"168,166",540.0,540.0,519.0,530.0,173
12,106/08/17,"43,030",525.0,525.0,520.0,520.0,46
13,106/08/18,"93,105",520.0,520.0,501.0,501.0,99
14,106/08/21,"17,122",501.0,504.0,500.0,501.0,24
15,106/08/22,"18,113",501.0,505.0,501.0,502.0,23
16,106/08/23,"66,030",509.0,509.0,500.0,500.0,67
17,106/08/24,"19,110",503.0,504.0,494.5,503.0,22
18,106/08/25,"22,245",505.0,505.0,500.0,501.0,30
19,106/08/28,"21,253",501.0,505.0,501.0,501.0,33
20,106/08/29,"77,020",509.0,509.0,494.0,494.0,79
21,106/08/30,"53,230",494.0,514.0,494.0,514.0,57
22,106/08/31,"129,138",515.0,544.0,506.0,544.0,135
0,106/09/01,"140,801",544.0,548.0,533.0,538.0,113
1,106/09/04,"28,020",531.0,537.0,525.0,528.0,30
2,106/09/05,"34,135",532.0,534.0,528.0,534.0,37
3,106/09/06,"30,183",529.0,529.0,516.0,520.0,38
4,106/09/07,"25,368",526.0,527.0,525.0,525.0,26
5,106/09/08,"155,892",528.0,544.0,528.0,541.0,149
6,106/09/11,"84,291",540.0,544.0,538.0,544.0,93
7,106/09/12,"58,653",546.0,546.0,536.0,540.0,63
8,106/09/13,"62,020",543.0,543.0,535.0,535.0,58
9,106/09/14,"48,010",535.0,543.0,533.0,540.0,43
10,106/09/15,"75,300",536.0,543.0,535.0,542.0,74
11,106/09/18,"90,017",543.0,543.0,538.0,539.0,43
12,106/09/19,"135,019",543.0,543.0,538.0,542.0,56
13,106/09/20,"53,587",537.0,546.0,537.0,545.0,59
14,106/09/21,"77,316",544.0,552.0,544.0,548.0,87
15,106/09/22,"251,794",549.0,593.0,549.0,575.0,256
16,106/09/25,"283,742",573.0,593.0,566.0,588.0,287
17,106/09/26,"171,526",598.0,599.0,570.0,580.0,177
18,106/09/27,"125,500",572.0,580.0,567.0,570.0,132
19,106/09/28,"100,137",570.0,575.0,570.0,571.0,100
20,106/09/29,"229,962",571.0,571.0,542.0,544.0,177
21,106/09/30,"30,065",550.0,550.0,535.0,535.0,37
0,106/10/02,"121,189",544.0,561.0,540.0,558.0,133
1,106/10/03,"49,193",558.0,558.0,554.0,557.0,55
2,106/10/05,"68,025",549.0,556.0,546.0,552.0,71
3,106/10/06,"98,072",566.0,580.0,560.0,570.0,104
4,106/10/11,"131,248",566.0,592.0,565.0,592.0,135
5,106/10/12,"89,715",589.0,592.0,584.0,590.0,94
6,106/10/13,"47,150",594.0,594.0,584.0,588.0,39
7,106/10/16,"54,291",581.0,592.0,581.0,590.0,59
8,106/10/17,"76,131",590.0,591.0,584.0,586.0,80
