,證券代號,證券名稱
271,1598,岱宇
272,1603,華電
273,1604,聲寶
274,1605,華新
275,1608,華榮
276,1609,大亞
277,1611,中電
278,1612,宏泰
279,1614,三洋電
280,1615,大山
281,1616,億泰
282,1617,榮星
283,1618,合機
284,1626,艾美特-KY
285,1701,中化
286,1702,南僑
287,1707,葡萄王
288,1708,東鹼
289,1709,和益
290,1710,東聯
291,1711,永光
292,1712,興農
293,1713,國化
294,1714,和桐
295,1717,長興
296,1718,中纖
297,1720,生達
298,1721,三晃
299,1722,台肥
300,1723,中碳
301,1724,台硝
302,1725,元禎
303,1726,永記
304,1727,中華化
305,1730,花仙子
306,1731,美吾華
307,1732,毛寶
308,1733,五鼎
309,1734,杏輝
310,1735,日勝化
311,1736,喬山
312,1737,臺鹽
313,1760,寶齡富錦
314,1762,中化生
315,1773,勝一
316,1776,展宇
317,1783,和康生
318,1786,科妍
319,1789,神隆
320,1802,台玻
321,1805,寶徠
322,1806,冠軍
323,1808,潤隆
324,1809,中釉
325,1810,和成
326,1817,凱撒衛
327,1902,台紙
328,1903,士紙
329,1904,正隆
330,1905,華紙
331,1906,寶隆
332,1907,永豐餘
333,1909,榮成
334,2002,中鋼
335,2002A,中鋼特
336,2006,東和鋼鐵
337,2007,燁興
338,2008,高興昌
339,2009,第一銅
340,2010,春源
341,2012,春雨
342,2013,中鋼構
343,2014,中鴻
344,2015,豐興
345,2017,官田鋼
346,2020,美亞
347,2022,聚亨
348,2023,燁輝
349,2024,志聯
350,2027,大成鋼
351,2028,威致
352,2029,盛餘
353,2030,彰源
354,2031,新光鋼
355,2032,新鋼
356,2033,佳大
357,2034,允強
358,2038,海光
359,2049,上銀
360,2059,川湖
361,2062,橋椿
362,2069,運錩
363,2101,南港
364,2102,泰豐
365,2103,台橡
366,2104,國際中橡
367,2105,正新
368,2106,建大
369,2107,厚生
370,2108,南帝
371,2109,華豐
372,2114,鑫永銓
373,2115,六暉-KY
374,2201,裕隆
375,2204,中華
376,2206,三陽工業
377,2207,和泰車
378,2208,台船
379,2227,裕日車
380,2228,劍麟
381,2231,為升
382,2236,百達-KY
383,2239,英利-KY
384,2243,宏旭-KY
385,2301,光寶科
386,2302,麗正
387,2303,聯電
388,2305,全友
389,2308,台達電
390,2312,金寶
391,2313,華通
392,2314,台揚
393,2316,楠梓電
394,2317,鴻海
395,2321,東訊
396,2323,中環
397,2324,仁寶
398,2327,國巨
399,2328,廣宇
400,2329,華泰
401,2330,台積電
402,2331,精英
403,2332,友訊
404,2337,旺宏
405,2338,光罩
406,2340,光磊
407,2342,茂矽
408,2344,華邦電
409,2345,智邦
410,2347,聯強
411,2348,海悅
412,2349,錸德
413,2351,順德
414,2352,佳世達
415,2353,宏碁
416,2354,鴻準
417,2355,敬鵬
418,2356,英業達
419,2357,華碩
420,2358,廷鑫
421,2359,所羅門
422,2360,致茂
423,2362,藍天
424,2363,矽統
425,2364,倫飛
426,2365,昆盈
427,2367,燿華
